channel,gain_2023_nC_per_PE,gain_2019_2020_nC_per_PE,transparency_c1Mu_mean_nC_per_PE,transparency_c1Mu_std_nC_per_PE,delta_2023_minus_2019_2020_nC_per_PE,ratio_2023_over_2019_2020,frac_change_2023_vs_2019_2020,delta_2023_minus_transparency_nC_per_PE,delta_2019_2020_minus_transparency_nC_per_PE,ratio_2023_over_transparency,ratio_2019_2020_over_transparency
332,0.001345,0.00119,,,0.00015499999999999997,1.1302521008403361,0.13025210084033612,,,,
334,0.001421,0.001543,,,-0.00012200000000000015,0.9209332469215813,-0.07906675307841876,,,,
335,0.001375,0.001306,,,6.899999999999983e-05,1.0528330781010717,0.052833078101071844,,,,
336,0.001222,0.001164,,,5.799999999999989e-05,1.049828178694158,0.049828178694157975,,,,
337,,0.0015,,,,,,,,,
338,0.001387,0.001252,,,0.00013499999999999992,1.1078274760383386,0.10782747603833859,,,,
339,0.001038,0.001116,,,-7.799999999999994e-05,0.9301075268817205,-0.06989247311827952,,,,
340,0.001248,0.001225,,,2.3000000000000017e-05,1.0187755102040816,0.018775510204081646,,,,
341,0.001543,0.001337,,,0.00020600000000000002,1.1540762902019446,0.15407629020194466,,,,
342,,0.001182,,,,,,,,,
343,0.000267,0.00136,,,-0.0010930000000000002,0.19632352941176467,-0.8036764705882354,,,,
344,0.001334,0.001127,,,0.00020699999999999994,1.183673469387755,0.18367346938775506,,,,
345,,0.000973,,,,,,,,,
347,0.00157,0.001362,,,0.00020800000000000007,1.1527165932452277,0.15271659324522766,,,,
348,0.001478,0.001255,,,0.0002229999999999999,1.1776892430278882,0.17768924302788836,,,,
350,0.00129,0.001201,,,8.899999999999989e-05,1.074104912572856,0.07410491257285585,,,,
351,0.001455,0.001336,,,0.00011899999999999997,1.089071856287425,0.08907185628742513,,,,
353,0.00038,0.000326,,,5.400000000000001e-05,1.165644171779141,0.16564417177914115,,,,
354,0.001767,0.001693,,,7.399999999999985e-05,1.043709391612522,0.04370939161252206,,,,
355,0.001198,0.001537,,,-0.0003389999999999999,0.7794404684450228,-0.22055953155497715,,,,
356,0.000478,0.000993,0.0006534413329655933,1.261869367574518e-05,-0.0005149999999999999,0.4813695871097684,-0.5186304128902316,-0.00017544133296559328,0.00033955866703440666,0.731511730105339,1.5196467531267814
357,0.001922,0.001665,0.000541688330258448,3.4372915038878736e-05,0.00025700000000000007,1.1543543543543544,0.15435435435435438,0.001380311669741552,0.001123311669741552,3.5481657858181728,3.073723222365899
358,0.000923,0.000696,,,0.000227,1.3261494252873562,0.3261494252873563,,,,
359,0.000281,0.00021,,,7.099999999999999e-05,1.338095238095238,0.33809523809523806,,,,
360,0.00138,0.001294,0.00024963724339706935,5.148970239955553e-05,8.599999999999992e-05,1.0664605873261206,0.0664605873261205,0.0011303627566029307,0.0010443627566029305,5.528021304918001,5.183521426495575
361,0.000748,0.000933,,,-0.00018500000000000005,0.8017148981779206,-0.19828510182207937,,,,
362,0.001344,0.001142,,,0.00020199999999999992,1.1768826619964974,0.1768826619964973,,,,
363,0.001367,0.001427,,,-6.000000000000016e-05,0.9579537491240363,-0.04204625087596367,,,,
364,0.001223,0.001273,0.0009055954987431823,1.5590874930165913e-05,-5.000000000000013e-05,0.9607227022780832,-0.039277297721916835,0.0003174045012568176,0.00036740450125681773,1.3504925783060129,1.4057048668712628
365,0.001003,0.001293,0.0006000378689259095,4.3116397314442965e-06,-0.0002900000000000001,0.7757153905645784,-0.22428460943542156,0.0004029621310740905,0.0006929621310740906,1.6715611662900676,2.1548639960249827
366,0.000631,0.000854,,,-0.000223,0.7388758782201406,-0.26112412177985944,,,,
